timestamp,open,high,low,close
2023-04-17,1.09836,1.09998,1.09290,1.09339
2023-04-14,1.10459,1.10759,1.09710,1.09910
2023-04-13,1.09914,1.10677,1.09750,1.10447
2023-04-12,1.09106,1.10004,1.09093,1.09914
2023-04-11,1.08586,1.09280,1.08569,1.09095
2023-04-10,1.08995,1.09173,1.08300,1.08590
2023-04-07,1.09177,1.09240,1.08759,1.09014
2023-04-06,1.09058,1.09376,1.08830,1.09176
2023-04-05,1.09549,1.09696,1.08900,1.09057
2023-04-04,1.09011,1.09733,1.08810,1.09540
2023-04-03,1.08418,1.09166,1.07870,1.09006
2023-03-31,1.09042,1.09257,1.08350,1.08381
2023-03-30,1.08403,1.09263,1.08230,1.09046
2023-03-29,1.08399,1.08713,1.08170,1.08395
2023-03-28,1.07963,1.08485,1.07937,1.08399
2023-03-27,1.07645,1.08001,1.07430,1.07967
2023-03-24,1.08325,1.08385,1.07120,1.07588
2023-03-23,1.08590,1.09300,1.08230,1.08321
2023-03-22,1.07680,1.09125,1.07570,1.08580
2023-03-21,1.07192,1.07886,1.07020,1.07676
2023-03-20,1.06832,1.07309,1.06290,1.07190
2023-03-17,1.06121,1.06853,1.06075,1.06639
2023-03-16,1.05780,1.06356,1.05490,1.06125
2023-03-15,1.07317,1.07600,1.05150,1.05766
2023-03-14,1.07273,1.07496,1.06770,1.07313
2023-03-13,1.06938,1.07486,1.06490,1.07263
2023-03-10,1.05788,1.07007,1.05720,1.06387
2023-03-09,1.05430,1.05912,1.05377,1.05791
2023-03-08,1.05490,1.05738,1.05240,1.05430
2023-03-07,1.06791,1.06944,1.05440,1.05490
2023-03-06,1.06237,1.06943,1.06200,1.06791
2023-03-03,1.05963,1.06393,1.05870,1.06337
2023-03-02,1.06660,1.06730,1.05750,1.05966
2023-03-01,1.05743,1.06914,1.05640,1.06660
2023-02-28,1.06090,1.06451,1.05720,1.05748
2023-02-27,1.05451,1.06198,1.05310,1.06080
2023-02-24,1.05934,1.06142,1.05350,1.05437
2023-02-23,1.06031,1.06276,1.05760,1.05960
2023-02-22,1.06464,1.06638,1.05980,1.06034
2023-02-21,1.06850,1.06981,1.06360,1.06457
2023-02-20,1.06868,1.07046,1.06690,1.06841
2023-02-17,1.06719,1.06983,1.06110,1.06929
2023-02-16,1.06871,1.07223,1.06530,1.06725
2023-02-15,1.07361,1.07444,1.06590,1.06880
2023-02-14,1.07216,1.08044,1.07060,1.07366
2023-02-13,1.06807,1.07300,1.06540,1.07207
2023-02-10,1.07366,1.07527,1.06650,1.06754
2023-02-09,1.07099,1.07907,1.07065,1.07398
2023-02-08,1.07247,1.07607,1.07080,1.07099
2023-02-07,1.07251,1.07664,1.06670,1.07253
2023-02-06,1.07814,1.07990,1.07080,1.07252
2023-02-03,1.09086,1.09401,1.07910,1.07929
2023-02-02,1.09890,1.10327,1.08850,1.09092
2023-02-01,1.08610,1.10010,1.08500,1.09900
2023-01-31,1.08488,1.08750,1.08000,1.08626
2023-01-30,1.08644,1.09137,1.08370,1.08480
2023-01-27,1.08918,1.09002,1.08360,1.08649
2023-01-26,1.09150,1.09294,1.08490,1.08916
2023-01-25,1.08848,1.09237,1.08560,1.09154
2023-01-24,1.08710,1.08979,1.08330,1.08851
2023-01-23,1.08672,1.09267,1.08440,1.08715
2023-01-20,1.08310,1.08590,1.08010,1.08549
2023-01-19,1.07928,1.08400,1.07810,1.08308
2023-01-18,1.07872,1.08873,1.07650,1.07940
2023-01-17,1.08205,1.08699,1.07730,1.07877
2023-01-16,1.08333,1.08741,1.08000,1.08198
2023-01-13,1.08506,1.08680,1.07790,1.08302
2023-01-12,1.07566,1.08670,1.07292,1.08522
2023-01-11,1.07322,1.07775,1.07240,1.07562
2023-01-10,1.07280,1.07595,1.07100,1.07326
2023-01-09,1.06409,1.07606,1.06360,1.07292
2023-01-06,1.05200,1.06480,1.04816,1.06413
2023-01-05,1.06020,1.06314,1.05130,1.05200
2023-01-04,1.05461,1.06354,1.05390,1.06033
2023-01-03,1.06646,1.06836,1.05170,1.05460
2023-01-02,1.07031,1.07087,1.06489,1.06656
2022-12-30,1.06610,1.07131,1.06370,1.07025
2022-12-29,1.06100,1.06916,1.06078,1.06609
2022-12-28,1.06360,1.06745,1.06050,1.06110
2022-12-27,1.06360,1.06694,1.06100,1.06390
2022-12-26,1.06100,1.06364,1.05965,1.06332
2022-12-23,1.05928,1.06330,1.05850,1.06172
2022-12-22,1.06052,1.06594,1.05720,1.05965
2022-12-21,1.06231,1.06455,1.05890,1.06039
2022-12-20,1.06062,1.06586,1.05770,1.06232
2022-12-19,1.05880,1.06579,1.05740,1.06060
2022-12-16,1.06250,1.06631,1.05827,1.05839
2022-12-15,1.06812,1.07363,1.05910,1.06269
2022-12-14,1.06317,1.06952,1.06170,1.06815
2022-12-13,1.05355,1.06733,1.05260,1.06324
2022-12-12,1.05281,1.05802,1.05040,1.05367
2022-12-09,1.05542,1.05882,1.05018,1.05329
2022-12-08,1.05048,1.05649,1.04880,1.05540
2022-12-07,1.04660,1.05498,1.04410,1.05029
2022-12-06,1.04902,1.05329,1.04570,1.04650
2022-12-05,1.05300,1.05948,1.04780,1.04877
2022-12-02,1.05258,1.05450,1.04270,1.05325
2022-12-01,1.04041,1.05340,1.03906,1.05257
2022-11-30,1.03283,1.04288,1.02880,1.04041
2022-11-29,1.03385,1.03945,1.03174,1.03280
